VARNAMES: CID zHD MU MUERR
SN: 0001 0.050 36.735 0.0100
SN: 0002 0.150 39.276 0.0100
SN: 0003 0.250 40.512 0.0100
SN: 0004 0.350 41.354 0.0100
SN: 0005 0.450 41.998 0.0100
SN: 0006 0.550 42.520 0.0100
SN: 0007 0.650 42.960 0.0100
SN: 0008 0.750 43.340 0.0100
SN: 0009 0.850 43.675 0.0100
SN: 0010 0.950 43.973 0.0100
